dac_v,adc_a,adc_b,i_feed,q_feed
-1.000000000000000000e+00,-1.623499999999999943e-02,-1.782200000000000104e-02,-2.062999999999999903e-02,-1.879899999999999974e-02
-9.979999999999999982e-01,-7.141100000000000225e-02,3.344699999999999757e-02,-7.543900000000000605e-02,3.393600000000000089e-02
-9.959999999999999964e-01,3.686500000000000193e-02,2.075200000000000100e-01,8.178699999999999859e-02,1.997069999999999956e-01
-9.939999999999999947e-01,3.930700000000000166e-02,-4.467800000000000243e-02,3.344699999999999757e-02,-4.467800000000000243e-02
-9.919999999999999929e-01,-2.014200000000000018e-02,-2.392599999999999935e-02,-1.281700000000000027e-02,-2.331499999999999892e-02
-9.899999999999999911e-01,-1.965300000000000033e-02,-1.123000000000000040e-02,-1.745599999999999929e-02,-1.135300000000000024e-02
-9.879999999999999893e-01,-2.233900000000000122e-02,-1.257300000000000084e-02,-1.928699999999999859e-02,-1.061999999999999923e-02
-9.859999999999999876e-01,-2.160600000000000021e-02,-1.550299999999999942e-02,-1.782200000000000104e-02,-1.562500000000000000e-02
-9.839999999999999858e-01,-2.441400000000000167e-02,-2.441400000000000167e-02,-2.136199999999999904e-02,-2.490200000000000052e-02
-9.819999999999999840e-01,-2.075199999999999961e-02,3.052000000000000025e-03,-2.429200000000000109e-02,2.441000000000000027e-03
-9.799999999999999822e-01,-1.904300000000000090e-02,-6.714000000000000350e-03,-2.221700000000000064e-02,-3.784000000000000037e-03
-9.779999999999999805e-01,-1.989700000000000149e-02,-3.076200000000000115e-02,-2.587899999999999923e-02,-3.027300000000000130e-02
-9.759999999999999787e-01,-1.770000000000000046e-02,-1.196299999999999968e-02,-1.770000000000000046e-02,-1.098599999999999924e-02
-9.739999999999999769e-01,-1.623499999999999943e-02,-1.196299999999999968e-02,-1.574700000000000058e-02,-1.318399999999999954e-02
-9.719999999999999751e-01,-1.953099999999999975e-02,-9.520999999999999949e-03,-2.356000000000000108e-02,-8.666999999999999357e-03
-9.699999999999999734e-01,-1.879899999999999974e-02,-2.319299999999999834e-02,-1.757799999999999987e-02,-2.392599999999999935e-02
-9.679999999999999716e-01,-1.599099999999999827e-02,-7.934999999999999346e-03,-1.831100000000000089e-02,-8.911000000000000518e-03
-9.659999999999999698e-01,-1.782200000000000104e-02,-1.745599999999999929e-02,-2.441400000000000167e-02,-1.843300000000000147e-02
-9.639999999999999680e-01,-1.501500000000000057e-02,-1.306200000000000069e-02,-1.428199999999999956e-02,-1.245100000000000026e-02
-9.619999999999999662e-01,-1.904300000000000090e-02,-4.394999999999999601e-03,-2.136199999999999904e-02,-4.150000000000000043e-03
-9.599999999999999645e-01,-2.600099999999999981e-02,-2.514600000000000168e-02,-1.953099999999999975e-02,-2.392599999999999935e-02
-9.579999999999999627e-01,-1.806599999999999873e-02,-2.490200000000000052e-02,-1.696800000000000044e-02,-2.770999999999999852e-02
-9.559999999999999609e-01,-1.977500000000000091e-02,-2.490200000000000052e-02,-2.429200000000000109e-02,-2.307100000000000123e-02
-9.539999999999999591e-01,-2.368200000000000166e-02,-7.323999999999999781e-03,-2.111800000000000135e-02,-7.812000000000000367e-03
-9.519999999999999574e-01,-1.623499999999999943e-02,-4.028000000000000330e-03,-1.477099999999999941e-02,-6.348000000000000344e-03
-9.499999999999999556e-01,-1.538100000000000057e-02,-5.126999999999999613e-03,-2.087400000000000019e-02,-6.225999999999999764e-03
-9.479999999999999538e-01,-1.904300000000000090e-02,-1.709000000000000016e-03,-1.562500000000000000e-02,-4.028000000000000330e-03
-9.459999999999999520e-01,-1.684599999999999986e-02,1.464999999999999939e-03,-2.197299999999999948e-02,3.174000000000000172e-03
-9.439999999999999503e-01,-1.916500000000000148e-02,3.418000000000000031e-03,-2.136199999999999904e-02,4.150000000000000043e-03
-9.419999999999999485e-01,-2.490200000000000052e-02,-2.905299999999999896e-02,-2.319299999999999834e-02,-3.234900000000000275e-02
-9.399999999999999467e-01,-2.392599999999999935e-02,-2.563500000000000154e-02,-2.685500000000000040e-02,-2.648899999999999866e-02
