dac_v,adc_a,adc_b,i_feed,q_feed
-1.000000000000000000e+00,-1.818799999999999931e-02,-1.061999999999999923e-02,-1.672399999999999928e-02,-1.342800000000000070e-02
-9.979999999999999982e-01,-1.831100000000000089e-02,-1.269499999999999969e-02,-1.647900000000000059e-02,-1.293900000000000085e-02
-9.959999999999999964e-01,-2.172899999999999832e-02,-8.540000000000000499e-04,-1.904300000000000090e-02,-3.661999999999999891e-03
-9.939999999999999947e-01,-1.794400000000000162e-02,-1.953000000000000092e-03,-1.501500000000000057e-02,2.808000000000000166e-03
-9.919999999999999929e-01,-1.940899999999999917e-02,1.953000000000000092e-03,-2.014200000000000018e-02,3.661999999999999891e-03
-9.899999999999999911e-01,-3.503400000000000264e-02,1.794400000000000162e-02,-3.393600000000000089e-02,1.843300000000000147e-02
-9.879999999999999893e-01,-1.176760000000000028e-01,-1.101069999999999965e-01,-1.188960000000000017e-01,-1.097410000000000052e-01
-9.859999999999999876e-01,-6.506299999999999584e-02,5.773899999999999866e-02,-7.128900000000000514e-02,6.372099999999999986e-02
-9.839999999999999858e-01,-7.141100000000000225e-02,1.805420000000000080e-01,-6.323199999999999654e-02,1.846919999999999951e-01
-9.819999999999999840e-01,-8.642600000000000282e-02,1.329349999999999976e-01,-8.508300000000000585e-02,1.313479999999999925e-01
-9.799999999999999822e-01,-4.517000000000000182e-03,-8.776899999999999979e-02,4.883000000000000188e-03,-9.680199999999999916e-02
-9.779999999999999805e-01,2.233900000000000122e-02,-1.965330000000000132e-01,2.185099999999999890e-02,-1.945800000000000030e-01
-9.759999999999999787e-01,5.615000000000000199e-03,-2.275389999999999913e-01,1.403800000000000013e-02,-2.268070000000000086e-01
-9.739999999999999769e-01,1.416000000000000071e-02,-2.058109999999999939e-01,1.086400000000000039e-02,-2.062990000000000101e-01
-9.719999999999999751e-01,3.869600000000000123e-02,-5.395500000000000296e-02,4.089399999999999979e-02,-5.224600000000000077e-02
-9.699999999999999734e-01,6.274399999999999422e-02,6.445299999999999641e-02,6.628399999999999570e-02,6.469700000000000450e-02
-9.679999999999999716e-01,7.348599999999999577e-02,1.110840000000000022e-01,6.994599999999999429e-02,1.120609999999999939e-01
-9.659999999999999698e-01,6.665000000000000091e-02,1.281740000000000101e-01,6.591800000000000437e-02,2.344970000000000110e-01
-9.639999999999999680e-01,7.507300000000000084e-02,1.137699999999999961e-01,7.055699999999999472e-02,1.143799999999999956e-01
-9.619999999999999662e-01,7.775899999999999479e-02,1.109620000000000051e-01,8.007799999999999641e-02,1.097410000000000052e-01
-9.599999999999999645e-01,1.059569999999999956e-01,1.156009999999999954e-01,1.107179999999999970e-01,1.169430000000000053e-01
-9.579999999999999627e-01,1.264649999999999941e-01,9.619099999999999873e-02,1.276859999999999939e-01,9.838900000000000423e-02
-9.559999999999999609e-01,1.350099999999999911e-01,9.081999999999999795e-02,1.414789999999999937e-01,8.056599999999999873e-02
-9.539999999999999591e-01,1.595459999999999934e-01,6.408700000000000507e-02,1.618650000000000089e-01,6.298800000000000232e-02
-9.519999999999999574e-01,1.715089999999999948e-01,5.615000000000000199e-03,1.748049999999999882e-01,4.883000000000000188e-03
-9.499999999999999556e-01,1.636960000000000082e-01,-2.318999999999999881e-03,1.583249999999999935e-01,-9.766000000000000375e-03
-9.479999999999999538e-01,1.512449999999999906e-01,-4.296900000000000025e-02,1.549069999999999891e-01,-4.321300000000000141e-02
-9.459999999999999520e-01,1.295169999999999932e-01,-7.263200000000000212e-02,1.295169999999999932e-01,-7.299799999999999345e-02
-9.439999999999999503e-01,1.118159999999999987e-01,-6.127900000000000014e-02,1.064449999999999980e-01,-6.127900000000000014e-02
-9.419999999999999485e-01,9.765600000000000669e-02,-7.495100000000000373e-02,9.106400000000000605e-02,-7.409699999999999620e-02
-9.399999999999999467e-01,7.458499999999999852e-02,-6.567399999999999627e-02,7.251000000000000500e-02,-6.433099999999999929e-02
-9.379999999999999449e-01,6.310999999999999943e-02,-9.155299999999999550e-02,6.713900000000000423e-02,-8.813500000000000500e-02
-9.360000000000000542e-01,4.846199999999999813e-02,-7.324200000000000155e-02,5.078099999999999975e-02,-7.409699999999999620e-02
-9.340000000000000524e-01,4.162600000000000328e-02,-8.837899999999999923e-02,4.162600000000000328e-02,-8.898899999999999866e-02
-9.320000000000000506e-01,3.686500000000000193e-02,-8.654799999999999993e-02,4.223600000000000271e-02,-8.593800000000000050e-02
-9.300000000000000488e-01,3.515599999999999975e-02,-5.725100000000000328e-02,3.698699999999999904e-02,-5.908200000000000257e-02
-9.280000000000000471e-01,2.893099999999999838e-02,-7.080100000000000282e-02,2.770999999999999852e-02,-7.067900000000000571e-02
-9.260000000000000453e-01,2.270499999999999949e-02,-7.165499999999999647e-02,2.600099999999999981e-02,-7.336399999999999866e-02
-9.240000000000000435e-01,2.587899999999999923e-02,-6.848100000000000021e-02,2.465799999999999936e-02,-7.116699999999999415e-02
-9.220000000000000417e-01,2.417000000000000051e-02,-6.555199999999999916e-02,1.977500000000000091e-02,-6.323199999999999654e-02
-9.200000000000000400e-01,1.464799999999999956e-02,-5.297899999999999832e-02,2.026400000000000076e-02,-5.114699999999999802e-02
-9.180000000000000382e-01,1.440400000000000014e-02,-5.200199999999999961e-02,2.026400000000000076e-02,-4.931599999999999873e-02
-9.160000000000000364e-01,1.953099999999999975e-02,-5.273400000000000309e-02,2.197299999999999948e-02,-5.188000000000000250e-02
-9.140000000000000346e-01,1.831100000000000089e-02,-5.017100000000000032e-02,2.038600000000000134e-02,-5.090299999999999686e-02
-9.120000000000000329e-01,1.611299999999999885e-02,-4.650900000000000173e-02,1.098599999999999924e-02,-4.602099999999999941e-02
-9.100000000000000311e-01,1.696800000000000044e-02,-4.565400000000000014e-02,1.232899999999999968e-02,-4.626500000000000057e-02
-9.080000000000000293e-01,9.520999999999999949e-03,-4.882800000000000334e-02,1.464799999999999956e-02,-5.017100000000000032e-02
-9.060000000000000275e-01,1.428199999999999956e-02,-5.151399999999999729e-02,1.343000000000000010e-03,-5.017100000000000032e-02
-9.040000000000000258e-01,1.257300000000000084e-02,-5.017100000000000032e-02,1.477099999999999941e-02,-5.188000000000000250e-02
-9.020000000000000240e-01,1.245100000000000026e-02,-5.017100000000000032e-02,1.647900000000000059e-02,-5.017100000000000032e-02
-9.000000000000000222e-01,1.562500000000000000e-02,-4.809599999999999986e-02,1.293900000000000085e-02,-4.687500000000000000e-02
-8.980000000000000204e-01,1.318399999999999954e-02,-4.980500000000000205e-02,1.403800000000000013e-02,-4.711900000000000116e-02
-8.960000000000000187e-01,1.086400000000000039e-02,-5.090299999999999686e-02,1.538100000000000057e-02,-4.992699999999999916e-02
-8.940000000000000169e-01,1.745599999999999929e-02,-4.895000000000000046e-02,1.098599999999999924e-02,-4.772900000000000059e-02
-8.920000000000000151e-01,1.623499999999999943e-02,-5.017100000000000032e-02,1.513699999999999941e-02,-4.919400000000000162e-02
-8.900000000000000133e-01,1.586900000000000116e-02,-5.114699999999999802e-02,1.635700000000000001e-02,-5.041500000000000148e-02
-8.880000000000000115e-01,1.709000000000000102e-02,-4.858400000000000218e-02,1.550299999999999942e-02,-4.736300000000000232e-02
-8.860000000000000098e-01,1.330600000000000012e-02,-6.506299999999999584e-02,1.611299999999999885e-02,-6.591800000000000437e-02
-8.840000000000000080e-01,1.709000000000000102e-02,-6.372099999999999986e-02,1.086400000000000039e-02,-6.396499999999999408e-02
-8.820000000000000062e-01,1.098599999999999924e-02,-6.616199999999999859e-02,1.684599999999999986e-02,-6.530800000000000494e-02
-8.800000000000000044e-01,1.489299999999999999e-02,-6.677199999999999802e-02,1.782200000000000104e-02,-6.848100000000000021e-02
-8.780000000000000027e-01,1.647900000000000059e-02,-6.420900000000000218e-02,1.574700000000000058e-02,-6.616199999999999859e-02
-8.760000000000000009e-01,1.538100000000000057e-02,-6.250000000000000000e-02,1.477099999999999941e-02,-6.201199999999999768e-02
-8.739999999999999991e-01,1.513699999999999941e-02,-6.127900000000000014e-02,1.721200000000000160e-02,-6.152300000000000130e-02
-8.719999999999999973e-01,1.330600000000000012e-02,-6.286600000000000521e-02,1.843300000000000147e-02,-6.115700000000000303e-02
-8.699999999999999956e-01,1.965300000000000033e-02,-6.176800000000000346e-02,1.745599999999999929e-02,-6.420900000000000218e-02
-8.679999999999999938e-01,2.429200000000000109e-02,-6.152300000000000130e-02,2.075199999999999961e-02,-5.993699999999999722e-02
-8.659999999999999920e-01,2.221700000000000064e-02,-5.871599999999999736e-02,2.246099999999999833e-02,-5.810499999999999693e-02
-8.639999999999999902e-01,2.832000000000000142e-02,-5.273400000000000309e-02,2.917499999999999954e-02,-5.065900000000000264e-02
-8.619999999999999885e-01,3.039599999999999941e-02,-7.629400000000000071e-02,3.308099999999999929e-02,-7.788100000000000578e-02
-8.599999999999999867e-01,4.113800000000000096e-02,-5.786100000000000271e-02,3.479000000000000148e-02,-5.786100000000000271e-02
-8.579999999999999849e-01,4.626500000000000057e-02,-6.750499999999999556e-02,4.577599999999999725e-02,-6.872599999999999543e-02
-8.559999999999999831e-01,7.177699999999999358e-02,-9.228500000000000592e-02,7.495100000000000373e-02,-9.301800000000000346e-02
-8.539999999999999813e-01,6.982399999999999718e-02,-8.459500000000000353e-02,7.373000000000000387e-02,-8.569300000000000528e-02
-8.519999999999999796e-01,8.093300000000000494e-02,-6.921399999999999775e-02,7.702599999999999725e-02,-7.080100000000000282e-02
