time,sample,out1_s16,out2_s16,out1_u14,out2_u14
1000,0,0,0,8191,8191
3000,1,0,0,8191,8191
7000,0,0,0,8191,8191
9000,1,0,0,8191,8191
11000,2,0,0,8191,8191
13000,3,0,0,8191,8191
15000,4,0,0,8191,8191
17000,5,0,0,8191,8191
19000,6,0,0,8191,8191
21000,7,0,0,8191,8191
23000,8,0,0,8191,8191
25000,9,0,0,8191,8191
27000,10,0,0,8191,8191
29000,11,0,0,8191,8191
31000,12,0,0,8191,8191
33000,13,0,0,8191,8191
35000,14,0,0,8191,8191
37000,15,0,0,8191,8191
39000,16,0,0,8191,8191
41000,17,0,0,8191,8191
43000,18,0,0,8191,8191
45000,19,0,0,8191,8191
47000,20,0,0,8191,8191
49000,21,0,0,8191,8191
51000,22,0,0,8191,8191
53000,23,0,0,8191,8191
55000,24,0,0,8191,8191
57000,25,0,0,8191,8191
59000,26,0,0,8191,8191
61000,27,0,0,8191,8191
63000,28,0,0,8191,8191
65000,29,0,0,8191,8191
67000,30,0,0,8191,8191
69000,31,0,0,8191,8191
71000,32,0,0,8191,8191
73000,33,0,0,8191,8191
75000,34,0,0,8191,8191
77000,35,0,0,8191,8191
79000,36,0,0,8191,8191
81000,37,0,0,8191,8191
83000,38,0,0,8191,8191
85000,39,0,0,8191,8191
87000,40,0,0,8191,8191
89000,41,0,0,8191,8191
91000,42,0,0,8191,8191
93000,43,0,0,8191,8191
95000,44,0,0,8191,8191
97000,45,0,0,8191,8191
99000,46,0,0,8191,8191
101000,47,0,0,8191,8191
103000,48,0,0,8191,8191
105000,49,0,0,8191,8191
107000,50,0,0,8191,8191
109000,51,6,6,8190,8190
111000,52,6,6,8190,8190
113000,53,3293,-9434,7368,10550
115000,54,6547,-6238,6555,9751
117000,55,9734,-2980,5758,8936
119000,56,12823,308,4986,8114
121000,57,15783,3593,4246,7293
123000,58,18584,6842,3545,6481
125000,59,21197,10022,2892,5686
127000,60,23597,13100,2292,4916
129000,61,25758,16047,1752,4180
131000,62,27660,18832,1276,3483
133000,63,29282,21426,871,2835
135000,64,30610,23805,539,2240
137000,65,31628,25943,284,1706
139000,66,32328,27820,109,1236
141000,67,32701,29416,16,837
143000,68,32745,30716,5,512
145000,69,32458,31706,77,265
147000,70,31844,32375,230,98
149000,71,30908,32719,464,12
151000,72,29661,32732,776,8
153000,73,28115,32415,1163,88
155000,74,26285,31771,1620,249
157000,75,24190,30807,2144,490
159000,76,21851,29532,2729,808
161000,77,19291,27959,3369,1202
163000,78,16537,26104,4057,1665
165000,79,13617,23985,4787,2195
167000,80,10558,21625,5552,2785
169000,81,7394,19047,6343,3430
171000,82,4154,16276,7153,4122
173000,83,873,13342,7973,4856
175000,84,-2417,10272,8796,5623
177000,85,-5682,7100,9612,6416
179000,86,-8891,3855,10414,7228
181000,87,-12009,572,11194,8048
183000,88,-15007,-2717,11943,8871
185000,89,-17853,-5979,12655,9686
187000,90,-20519,-9181,13321,10487
189000,91,-22978,-12289,13936,11264
191000,92,-25205,-15274,14493,12010
193000,93,-27178,-18105,14986,12718
195000,94,-28877,-20753,15411,13380
197000,95,-30285,-23192,15763,13989
199000,96,-31387,-25397,16038,14541
201000,97,-32172,-27346,16234,15028
203000,98,-32633,-29018,16350,15446
205000,99,-32765,-30399,16383,15791
207000,100,-32567,-31472,16333,16059
209000,101,-32040,-32228,16201,16248
211000,102,-31189,-32659,15989,16356
213000,103,-30024,-32761,15697,16382
215000,104,-28556,-32532,15330,16324
217000,105,-26801,-31975,14892,16185
219000,106,-24774,-31095,14385,15965
221000,107,-22498,-29902,13816,15667
223000,108,-19995,-28407,13190,15293
225000,109,-17291,-26626,12514,14848
227000,110,-14412,-24576,11794,14335
229000,111,-11387,-22278,11038,13761
231000,112,-8248,-19756,10253,13130
233000,113,-5025,-17034,9448,12450
235000,114,-1752,-14140,8629,11726
237000,115,1539,-11104,7807,10967
239000,116,4814,-7956,6988,10180
241000,117,8041,-4727,6181,9373
243000,118,11187,-1451,5395,8554
245000,119,14219,1840,4637,7731
247000,120,17109,5112,3914,6913
249000,121,19826,8333,3235,6108
251000,122,22343,11470,2606,5324
253000,123,24634,14491,2033,4569
255000,124,26677,17365,1522,3850
257000,125,28451,20065,1079,3175
259000,126,29938,22562,707,2551
261000,127,31123,24832,411,1983
263000,128,31994,26851,193,1479
265000,129,32542,28600,56,1041
267000,130,32762,30059,1,677
269000,131,32652,31216,28,387
271000,132,32212,32058,138,177
273000,133,31448,32576,329,47
275000,134,30366,32766,600,0
277000,135,28977,32625,947,35
279000,136,27297,32156,1367,152
281000,137,25341,31362,1856,351
283000,138,23130,30251,2409,629
285000,139,20685,28835,3020,983
287000,140,18032,27129,3683,1409
289000,141,15196,25149,4392,1904
291000,142,12208,22915,5139,2463
293000,143,9096,20450,5917,3079
295000,144,5893,17779,6718,3747
297000,145,2630,14929,7534,4459
299000,146,-660,11927,8356,5210
301000,147,-3942,8806,9177,5990
303000,148,-7185,5596,9988,6792
305000,149,-10356,2329,10780,7609
307000,150,-13422,-961,11547,8432
309000,151,-16353,-4242,12280,9252
311000,152,-19118,-7479,12971,10061
313000,153,-21691,-10642,13614,10852
315000,154,-24045,-13697,14203,11616
317000,155,-26157,-16613,14731,12345
319000,156,-28005,-19362,15193,13032
321000,157,-29570,-21916,15584,13670
323000,158,-30837,-24249,15901,14254
325000,159,-31793,-26337,16140,14776
327000,160,-32428,-28160,16298,15231
329000,161,-32736,-29698,16375,15616
331000,162,-32714,-30937,16370,15926
333000,163,-32362,-31864,16282,16157
335000,164,-31683,-32470,16112,16309
337000,165,-30685,-32748,15863,16378
339000,166,-29378,-32695,15536,16365
341000,167,-27774,-32313,15135,16270
343000,168,-25890,-31605,14664,16093
345000,169,-23744,-30578,14127,15836
347000,170,-21360,-29243,13531,15502
349000,171,-18759,-27613,12881,15095
351000,172,-15970,-25704,12184,14617
353000,173,-13020,-23536,11446,14075
355000,174,-9938,-21130,10676,13474
357000,175,-6756,-18511,9880,12819
359000,176,-3505,-15706,9068,12118
361000,177,-220,-12742,8246,11377
363000,178,3068,-9650,7424,10604
365000,179,6325,-6460,6610,9806
367000,180,9518,-3205,5812,8993
369000,181,12615,82,5038,8171
371000,182,15585,3368,4295,7349
373000,183,18397,6620,3592,6536
375000,184,21024,9806,2935,5740
377000,185,23439,12893,2332,4968
379000,186,25618,15849,1787,4229
381000,187,27538,18646,1307,3530
383000,188,29180,21255,896,2878
385000,189,30528,23649,559,2279
387000,190,31568,25805,299,1740
389000,191,32290,27700,119,1266
391000,192,32686,29316,20,862
393000,193,32752,30636,3,532
395000,194,32488,31648,69,279
397000,195,31896,32340,217,106
399000,196,30983,32706,446,15
401000,197,29757,32742,752,6
403000,198,28230,32447,1134,80
405000,199,26419,31826,1587,235
407000,200,24342,30883,2106,471
409000,201,22019,29629,2687,784
411000,202,19474,28076,3323,1172
413000,203,16732,26240,4008,1631
415000,204,13822,24139,4736,2157
417000,205,10772,21795,5498,2743
419000,206,7614,19230,6288,3384
421000,207,4379,16472,7097,4073
423000,208,1099,13548,7917,4804
425000,209,-2191,10487,8739,5570
427000,210,-5459,7320,9556,6361
429000,211,-8673,4080,10360,7171
431000,212,-11799,798,11141,7992
433000,213,-14805,-2492,11893,8814
435000,214,-17663,-5757,12607,9631
437000,215,-20342,-8963,13277,10432
439000,216,-22816,-12079,13895,11211
441000,217,-25060,-15074,14456,11960
443000,218,-27051,-17916,14954,12670
445000,219,-28770,-20578,15384,13336
447000,220,-30198,-23032,15741,13949
449000,221,-31321,-25253,16022,14505
451000,222,-32129,-27220,16224,14996
453000,223,-32612,-28913,16344,15420
455000,224,-32767,-30313,16383,15770
457000,225,-32591,-31408,16339,16043
459000,226,-32086,-32187,16213,16238
461000,227,-31258,-32640,16006,16351
463000,228,-30114,-32764,15720,16382
465000,229,-28667,-32558,15358,16331
467000,230,-26930,-32024,14924,16197
469000,231,-24922,-31166,14422,15983
471000,232,-22662,-29994,13857,15690
473000,233,-20174,-28519,13235,15321
475000,234,-17482,-26757,12562,14881
477000,235,-14614,-24725,11845,14373
479000,236,-11599,-22444,11091,13802
481000,237,-8467,-19936,10308,13175
483000,238,-5249,-17227,9504,12498
485000,239,-1978,-14344,8686,11777
487000,240,1313,-11316,7863,11020
489000,241,4590,-8175,7044,10235
491000,242,7821,-4951,6236,9429
493000,243,10974,-1677,5448,8611
495000,244,14015,1614,4688,7788
497000,245,16916,4889,3962,6969
499000,246,19645,8114,3280,6163
501000,247,22177,11257,2647,5377
503000,248,24484,14287,2070,4620
505000,249,26545,17173,1555,3898
507000,250,28338,19886,1107,3220
509000,251,29845,22398,730,2592
511000,252,31052,24684,428,2020
513000,253,31944,26721,205,1511
515000,254,32515,28488,63,1069
517000,255,32758,29969,2,699
519000,256,32670,31147,24,405
521000,257,32253,32010,128,189
523000,258,31510,32551,314,54
525000,259,30450,32764,579,0
527000,260,29082,32646,921,30
529000,261,27421,32198,1336,142
531000,262,25484,31426,1820,335
533000,263,23289,30337,2369,607
535000,264,20860,28942,2976,956
537000,265,18220,27255,3636,1378
539000,266,15396,25293,4342,1868
541000,267,12417,23076,5087,2422
543000,268,9313,20626,5863,3035
545000,269,6115,17969,6663,3699
547000,270,2855,15129,7478,4409
549000,271,-434,12138,8300,5157
551000,272,-3718,9024,9121,5935
553000,273,-6965,5818,9933,6737
555000,274,-10141,2555,10727,7553
557000,275,-13215,-735,11495,8375
559000,276,-16156,-4017,12230,9196
561000,277,-18934,-7259,12925,10006
563000,278,-21521,-10427,13572,10798
565000,279,-23891,-13491,14164,11564
567000,280,-26020,-16418,14696,12296
569000,281,-27886,-19180,15163,12986
571000,282,-29472,-21748,15559,13628
573000,283,-30760,-24096,15881,14215
575000,284,-31737,-26202,16126,14742
577000,285,-32395,-28044,16290,15202
579000,286,-32725,-29602,16373,15592
581000,287,-32726,-30862,16373,15907
583000,288,-32397,-31811,16291,16144
585000,289,-31740,-32439,16126,16301
587000,290,-30764,-32739,15882,16376
589000,291,-29477,-32710,15561,16369
591000,292,-27893,-32350,15165,16279
593000,293,-26028,-31664,14698,16107
595000,294,-23900,-30659,14166,15856
597000,295,-21531,-29344,13574,15527
599000,296,-18944,-27734,12927,15125
601000,297,-16167,-25843,12233,14652
603000,298,-13227,-23692,11498,14114
605000,299,-10153,-21302,10730,13517
607000,300,-6977,-18698,9936,12866
609000,301,-3730,-15904,9124,12167
611000,302,-446,-12950,8303,11429
613000,303,2843,-9866,7481,10658
