freq_hz,adc_b
0.000000000000000000e+00,4.241010174155235410e-16
3.814813684499648843e+03,9.676494632113332274e-04
7.629627368999297687e+03,1.848979947796830113e-03
1.144444105349894744e+04,4.382691754852453304e-03
1.525925473799859537e+04,2.837627916111449752e-02
1.907406842249824331e+04,2.327283737904475944e-04
2.288888210699789488e+04,8.051438179809582152e-02
2.670369579149754281e+04,5.645230874838060714e-02
3.051850947599719075e+04,7.382906579366864397e-02
3.433332316049683868e+04,6.998645265416688147e-03
3.814813684499648662e+04,9.469067658756663564e-01
4.196295052949613455e+04,2.443562387187601104e+00
4.577776421399578976e+04,9.567798466448752537e-01
4.959257789849543769e+04,4.076408892341092625e-03
5.340739158299508563e+04,7.269515177904312120e-02
5.722220526749473356e+04,2.756252675174535732e-02
6.103701895199438150e+04,7.009627928464394475e-02
6.485183263649402943e+04,1.164873535412419558e-02
6.866664632099367736e+04,4.954449117139888420e-02
7.248146000549332530e+04,4.052708688516097786e-03
7.629627368999297323e+04,1.077695974851769316e-02
8.011108737449262117e+04,9.977956755274584866e-02
8.392590105899226910e+04,2.796769349317755893e-01
8.774071474349191703e+04,4.125869675198402114e-02
9.155552842799157952e+04,2.783357938404752013e-02
9.537034211249122745e+04,1.887875198710414759e-02
9.918515579699087539e+04,3.832477375199467347e-03
1.029999694814905233e+05,7.722154913134546880e-04
1.068147831659901713e+05,4.743581692238043115e-03
1.106295968504898192e+05,3.975216808908961681e-03
1.144444105349894671e+05,8.394122000023223132e-03
1.182592242194891151e+05,1.103020824372593104e-03
1.220740379039887630e+05,1.313072010863104233e-03
1.258888515884884109e+05,5.991914200389118587e-03
1.297036652729880589e+05,1.785061145484460876e-02
1.335184789574877068e+05,2.001707298531448561e-04
1.373332926419873547e+05,6.581778474063114219e-03
1.411481063264870027e+05,3.258158691774689004e-04
1.449629200109866506e+05,7.586317187644296342e-03
1.487777336954862985e+05,1.730512094456948795e-03
1.525925473799859465e+05,6.533418504439951653e-03
1.564073610644855944e+05,1.410990539120461043e-04
1.602221747489852423e+05,3.090283188540517059e-03
1.640369884334848903e+05,2.875440608814428499e-03
1.678518021179845382e+05,1.021336614305359478e-02
1.716666158024841861e+05,2.062176696448730917e-03
1.754814294869838341e+05,4.068797455139625506e-03
1.792962431714834820e+05,3.529482235809226656e-04
1.831110568559831590e+05,4.656615652775979337e-03
1.869258705404828070e+05,2.687344228731282435e-04
1.907406842249824549e+05,2.634561718093218242e-03
1.945554979094821028e+05,3.447073439783616684e-04
1.983703115939817508e+05,2.105969277933873902e-03
2.021851252784813987e+05,7.958163649820715688e-06
2.059999389629810466e+05,4.294304122955758078e-03
2.098147526474806946e+05,4.017737318337275335e-03
2.136295663319803425e+05,3.989449208611130053e-03
2.174443800164799904e+05,3.311822466010565388e-04
2.212591937009796384e+05,1.329507696722804187e-03
2.250740073854792863e+05,5.138227601016722920e-04
2.288888210699789342e+05,1.517751556583745148e-03
2.327036347544785822e+05,4.300274967967436437e-04
2.365184484389782301e+05,1.844465035638527713e-03
2.403332621234778780e+05,3.268144267633163414e-05
2.441480758079775260e+05,1.428510012238676024e-03
2.479628894924771739e+05,1.170850327590977754e-03
2.517777031769768219e+05,4.269607444410628005e-03
2.555925168614764698e+05,9.090127390909752739e-05
2.594073305459761177e+05,1.605812089182096251e-03
2.632221442304757657e+05,6.329190671058512740e-05
2.670369579149754136e+05,1.821656328271579464e-03
2.708517715994750615e+05,3.536576772338197139e-06
2.746665852839747095e+05,1.699947108517304130e-03
2.784813989684743574e+05,8.315297956885110920e-06
2.822962126529740053e+05,1.418738807850174243e-03
2.861110263374736533e+05,9.194849430731004414e-05
2.899258400219733012e+05,2.897537795438225646e-03
2.937406537064729491e+05,4.255638682411421814e-04
2.975554673909725971e+05,7.847258883550494672e-04
3.013702810754722450e+05,4.534208140974783327e-05
3.051850947599718929e+05,9.502214173039775147e-04
3.089999084444715409e+05,5.003117508607775267e-05
3.128147221289711888e+05,8.071722684964418660e-04
3.166295358134708367e+05,6.342232487571616275e-05
3.204443494979704847e+05,6.068978147269198401e-04
3.242591631824701326e+05,1.896118115379019742e-05
3.280739768669697805e+05,9.560123006691812917e-04
3.318887905514694285e+05,1.006021883049602850e-04
3.357036042359690764e+05,3.541867701396895834e-04
3.395184179204687243e+05,1.614222504834766258e-05
3.433332316049683723e+05,5.237929858543960860e-04
3.471480452894680202e+05,2.063842337377505508e-05
3.509628589739676681e+05,7.003132316259968538e-04
3.547776726584673161e+05,1.776001122020499451e-05
3.585924863429669640e+05,6.755614008481452366e-04
3.624073000274666119e+05,4.839371018754383950e-06
