TIME ms, IN1, OUT1
2.5, 2.220142, 0.011241
2.495, 2.976978, 0.072591
2.49, 3.660572, 0.133882
2.485, 2.488697, 0.195059
2.48, 2.220142, 0.256062
2.476, 3.392017, 0.316835
2.471, 3.196705, 0.377321
2.466, 2.049244, 0.437462
2.461, 2.732838, 0.497201
2.456, 3.489674, 0.556484
2.451, 2.220142, 0.615253
2.446, 2.122486, 0.673454
2.441, 3.318775, 0.731031
2.437, 3.123463, 0.787931
2.432, 1.878345, 0.8441
2.427, 2.708424, 0.899485
2.422, 3.245533, 0.954034
2.417, 1.976002, 1.007696
2.412, 2.073658, 1.06042
2.407, 3.269947, 1.112157
2.402, 2.635181, 1.162857
2.397, 1.829517, 1.212474
2.393, 2.464283, 1.26096
2.388, 3.123463, 1.30827
2.383, 1.976002, 1.354359
2.378, 2.02483, 1.399184
2.373, 3.147877, 1.442703
2.368, 2.342213, 1.484874
2.363, 1.829517, 1.525659
2.358, 2.586353, 1.565018
2.354, 3.025806, 1.602915
2.349, 1.853931, 1.639314
2.344, 2.1469, 1.67418
2.339, 3.001392, 1.707482
2.334, 2.293385, 1.739187
2.329, 1.731861, 1.769265
2.324, 2.586353, 1.79769
2.319, 2.976978, 1.824432
2.314, 1.756275, 1.849469
2.31, 1.951588, 1.872775
2.305, 2.879322, 1.894329
2.3, 2.1469, 1.914111
2.295, 1.658619, 1.932102
2.29, 2.537525, 1.948285
2.285, 2.830494, 1.962645
2.28, 1.756275, 1.975169
2.275, 1.976002, 1.985844
2.271, 2.879322, 1.99466
2.266, 2.1469, 2.001611
2.261, 1.731861, 2.006687
2.256, 2.537525, 2.009886
2.251, 2.903736, 2.011203
2.246, 1.780689, 2.010639
2.241, 2.195728, 2.008192
2.236, 3.001392, 2.003866
2.231, 2.171314, 1.997665
2.227, 1.780689, 1.989594
2.222, 2.659595, 1.979661
2.217, 2.879322, 1.967876
2.212, 1.805103, 1.954249
2.207, 2.293385, 1.938793
2.202, 3.025806, 1.921523
2.197, 2.1469, 1.902456
2.192, 1.878345, 1.881608
2.188, 2.854908, 1.859
2.183, 3.001392, 1.834653
2.178, 1.976002, 1.80859
2.173, 2.391041, 1.780835
2.168, 3.172291, 1.751415
2.163, 2.220142, 1.720357
2.158, 2.02483, 1.68769
2.153, 2.976978, 1.653446
2.148, 3.123463, 1.617656
2.144, 2.073658, 1.580354
2.139, 2.659595, 1.541576
2.134, 3.318775, 1.501357
2.129, 2.537525, 1.459735
2.124, 2.317799, 1.41675
2.119, 3.025806, 1.372443
2.114, 3.343189, 1.326854
2.109, 2.391041, 1.280028
2.104, 2.854908, 1.232007
2.1, 3.514088, 1.182837
2.095, 2.757252, 1.132564
2.09, 2.561939, 1.081236
2.085, 3.196705, 1.028901
2.08, 3.562916, 0.975609
2.075, 2.635181, 0.921408
2.07, 3.025806, 0.866351
2.065, 3.684986, 0.810489
2.061, 2.879322, 0.753875
2.056, 2.586353, 0.696562
2.051, 3.294361, 0.638604
2.046, 3.636158, 0.580056
2.041, 2.68401, 0.520972
2.036, 3.05022, 0.461409
2.031, 3.855885, 0.401422
2.026, 3.123463, 0.341067
2.021, 2.854908, 0.280402
2.017, 3.416431, 0.219484
2.012, 3.953541, 0.15837
2.007, 2.952564, 0.097118
2.002, 3.343189, 0.035784
1.997, 4.026783, -0.025572
1.992, 3.392017, -0.086894
1.987, 2.952564, -0.148124
1.982, 3.611744, -0.209203
1.978, 4.002369, -0.270075
1.973, 3.074635, -0.330683
1.968, 3.440845, -0.390968
1.963, 4.124439, -0.450875
1.958, 3.294361, -0.510347
1.953, 2.537525, -0.569328
1.948, 3.221119, -0.627763
1.943, 3.147877, -0.685596
1.938, 2.366627, -0.742774
1.934, 3.001392, -0.799242
1.929, 3.904713, -0.854947
1.924, 3.294361, -0.909836
1.919, 3.221119, -0.963859
1.914, 3.953541, -1.016964
1.909, 4.36858, -1.069102
1.904, 3.392017, -1.120223
1.899, 3.733814, -1.170278
1.895, 4.36858, -1.219222
1.89, 3.611744, -1.267008
1.885, 3.440845, -1.313591
1.88, 4.36858, -1.358926
1.875, 4.295338, -1.402973
1.87, 3.46526, -1.445688
1.865, 3.855885, -1.487032
1.86, 4.515064, -1.526966
1.855, 3.684986, -1.565452
1.851, 3.562916, -1.602454
1.846, 4.441822, -1.637938
1.841, 4.026783, -1.671869
1.836, 3.514088, -1.704216
1.831, 4.051197, -1.734949
1.826, 4.588306, -1.764038
1.821, 3.636158, -1.791457
1.816, 3.7094, -1.817178
1.812, 4.49065, -1.841179
1.807, 4.026783, -1.863437
1.802, 3.611744, -1.88393
1.797, 4.100025, -1.90264
1.792, 4.539478, -1.919548
1.787, 3.636158, -1.934639
1.782, 3.684986, -1.947899
1.777, 4.515064, -1.959314
1.772, 4.148853, -1.968875
1.768, 3.562916, -1.976573
1.763, 4.148853, -1.9824
1.758, 4.563892, -1.98635
1.753, 3.58733, -1.98842
1.748, 3.733814, -1.988608
1.743, 4.515064, -1.986914
1.738, 4.002369, -1.98334
1.733, 3.46526, -1.977888
1.729, 4.051197, -1.970564
1.724, 4.466236, -1.961375
1.719, 3.611744, -1.95033
1.714, 3.83147, -1.937438
1.709, 4.417408, -1.922712
1.704, 3.758228, -1.906166
1.699, 3.343189, -1.887815
1.694, 4.026783, -1.867677
1.689, 4.344166, -1.845771
1.685, 3.416431, -1.822117
1.68, 3.7094, -1.796738
1.675, 4.270924, -1.769656
1.67, 3.636158, -1.740899
1.665, 3.294361, -1.710493
1.66, 3.758228, -1.678466
1.655, 4.222095, -1.644849
1.65, 3.172291, -1.609673
1.646, 3.416431, -1.572972
1.641, 4.124439, -1.53478
1.636, 3.489674, -1.495133
1.631, 3.025806, -1.454068
1.626, 3.611744, -1.411623
1.621, 4.075611, -1.36784
1.616, 3.099049, -1.322759
1.611, 3.294361, -1.276422
1.606, 3.855885, -1.228873
1.602, 3.440845, -1.180158
1.597, 2.952564, -1.130321
1.592, 3.562916, -1.079409
1.587, 3.855885, -1.027471
1.582, 3.001392, -0.974555
1.577, 3.123463, -0.920712
1.572, 3.636158, -0.865991
1.567, 3.294361, -0.810445
1.563, 2.757252, -0.754126
1.558, 3.245533, -0.697086
1.553, 3.684986, -0.63938
1.548, 2.781666, -0.581061
1.543, 2.757252, -0.522184
1.538, 2.317799, -0.462806
1.533, 1.267994, -0.402982
1.528, 0.999439, -0.342767
1.523, 2.317799, -0.28222
1.519, 3.074635, -0.221396
1.514, 2.26897, -0.160354
1.509, 2.391041, -0.099149
1.504, 3.392017, -0.037841
1.499, 2.854908, 0.023513
1.494, 2.391041, 0.084855
1.489, 2.879322, 0.146129
1.484, 3.343189, 0.207275
1.479, 2.391041, 0.268237
1.475, 2.366627, 0.328957
1.47, 3.196705, 0.389378
1.465, 3.099049, 0.449443
1.46, 2.1469, 0.509096
1.455, 2.659595, 0.56828
1.45, 3.196705, 0.62694
1.445, 2.391041, 0.685021
1.44, 2.220142, 0.742467
1.436, 3.001392, 0.799225
1.431, 3.05022, 0.855242
1.426, 2.073658, 0.910464
1.421, 2.586353, 0.964839
1.416, 3.123463, 1.018318
1.411, 2.220142, 1.070848
1.406, 2.073658, 1.122381
1.401, 2.952564, 1.172869
1.396, 2.80608, 1.222263
1.392, 2.073658, 1.270517
1.387, 2.342213, 1.317587
1.382, 3.001392, 1.363426
1.377, 2.122486, 1.407994
1.372, 1.976002, 1.451246
1.367, 2.732838, 1.493143
1.362, 2.610767, 1.533646
1.357, 1.927173, 1.572715
1.353, 2.415455, 1.610316
1.348, 2.879322, 1.646411
1.343, 2.000416, 1.680967
1.338, 1.927173, 1.713951
1.333, 2.757252, 1.745333
1.328, 2.732838, 1.775084
1.323, 1.878345, 1.803174
1.318, 2.220142, 1.829577
1.313, 2.830494, 1.854269
1.309, 2.073658, 1.877227
1.304, 1.853931, 1.898428
1.299, 2.732838, 1.917853
1.294, 2.781666, 1.935484
1.289, 1.853931, 1.951303
1.284, 2.220142, 1.965297
1.279, 2.732838, 1.977452
1.274, 1.976002, 1.987756
1.27, 1.902759, 1.9962
1.265, 2.439869, 2.002776
1.26, 2.757252, 2.007477
1.255, 1.853931, 2.0103
1.25, 2.195728, 2.011241
1.245, 2.732838, 2.0103
1.24, 2.049244, 2.007477
1.235, 1.902759, 2.002776
1.23, 2.537525, 1.9962
1.226, 2.732838, 1.987756
1.221, 1.878345, 1.977452
1.216, 2.195728, 1.965297
1.211, 2.879322, 1.951303
1.206, 2.073658, 1.935484
1.201, 1.902759, 1.917853
1.196, 2.586353, 1.898428
1.191, 2.879322, 1.877227
1.187, 2.049244, 1.854269
1.182, 2.391041, 1.829577
1.177, 2.952564, 1.803174
1.172, 2.293385, 1.775084
1.167, 2.073658, 1.745333
1.162, 2.80608, 1.713951
1.157, 3.05022, 1.680967
1.152, 2.220142, 1.646411
1.147, 2.586353, 1.610316
1.143, 3.196705, 1.572715
1.138, 2.586353, 1.533646
1.133, 2.317799, 1.493143
1.128, 2.781666, 1.451246
