TIME ms, IN1, OUT1
2.5, 0.682056, 0.011241
2.495, 0.70647, 0.060323
2.49, 0.657642, 0.109376
2.485, 0.657642, 0.15837
2.48, 0.70647, 0.207275
2.476, 0.657642, 0.256062
2.471, 0.657642, 0.304702
2.466, 0.70647, 0.353165
2.461, 0.70647, 0.401422
2.456, 0.682056, 0.449443
2.451, 0.70647, 0.497201
2.446, 0.682056, 0.544667
2.441, 0.682056, 0.59181
2.437, 0.70647, 0.638604
2.432, 0.730884, 0.685021
2.427, 0.779713, 0.731031
2.422, 0.730884, 0.776608
2.417, 0.730884, 0.821724
2.412, 0.755299, 0.866351
2.407, 0.70647, 0.910464
2.402, 0.755299, 0.954035
2.397, 0.730884, 0.997037
2.393, 0.730884, 1.039446
2.388, 0.877369, 1.081236
2.383, 0.730884, 1.122381
2.378, 0.755299, 1.162857
2.373, 0.804127, 1.20264
2.368, 0.779713, 1.241704
2.363, 0.755299, 1.280028
2.358, 0.70647, 1.317587
2.354, 0.730884, 1.354359
2.349, 0.730884, 1.390322
2.344, 0.730884, 1.425455
2.339, 0.730884, 1.459735
2.334, 0.70647, 1.493143
2.329, 0.657642, 1.525659
2.324, 0.730884, 1.557262
2.319, 0.730884, 1.587934
2.314, 0.682056, 1.617656
2.31, 0.633228, 1.646411
2.305, 0.779713, 1.67418
2.3, 0.633228, 1.700948
2.295, 0.682056, 1.726698
2.29, 0.730884, 1.751415
2.285, 0.633228, 1.775084
2.28, 0.70647, 1.79769
2.275, 0.657642, 1.81922
2.271, 0.682056, 1.839661
2.266, 0.70647, 1.859
2.261, 0.608814, 1.877227
2.256, 0.657642, 1.894329
2.251, 0.682056, 1.910297
2.246, 0.682056, 1.925122
2.241, 0.5844, 1.938793
2.236, 0.608814, 1.951303
2.231, 0.682056, 1.962645
2.227, 0.682056, 1.972812
2.222, 0.657642, 1.981796
2.217, 0.657642, 1.989594
2.212, 0.70647, 1.9962
2.207, 0.682056, 2.001611
2.202, 0.682056, 2.005822
2.197, 0.633228, 2.008832
2.192, 0.70647, 2.010639
2.188, 0.682056, 2.011241
2.183, 0.608814, 2.010639
2.178, 0.70647, 2.008832
2.173, 0.633228, 2.005822
2.168, 0.657642, 2.001611
2.163, 0.70647, 1.9962
2.158, 0.70647, 1.989594
2.153, 0.682056, 1.981796
2.148, 0.633228, 1.972812
2.144, 0.70647, 1.962645
2.139, 0.5844, 1.951303
2.134, 0.608814, 1.938793
2.129, 0.559986, 1.925122
2.124, 0.633228, 1.910297
2.119, 0.657642, 1.894329
2.114, 0.682056, 1.877227
2.109, 0.535572, 1.859
2.104, 0.5844, 1.839661
2.1, 0.559986, 1.81922
2.095, 0.608814, 1.79769
2.09, 0.608814, 1.775084
2.085, 0.535572, 1.751415
2.08, 0.5844, 1.726698
2.075, 0.608814, 1.700948
2.07, 0.5844, 1.67418
2.065, 0.535572, 1.646411
2.061, 0.559986, 1.617656
2.056, 0.608814, 1.587934
2.051, 0.559986, 1.557262
2.046, 0.535572, 1.525659
2.041, 0.5844, 1.493143
2.036, 0.535572, 1.459735
2.031, 0.486744, 1.425454
2.026, 0.437916, 1.390322
2.021, 0.486744, 1.354359
2.017, 0.486744, 1.317587
2.012, 0.511158, 1.280028
2.007, 0.486744, 1.241704
2.002, 0.486744, 1.20264
1.997, 0.511158, 1.162857
1.992, 0.437916, 1.122381
1.987, 0.437916, 1.081236
1.982, 0.46233, 1.039446
1.978, 0.437916, 0.997037
1.973, 0.486744, 0.954034
1.968, 0.437916, 0.910464
1.963, 0.389088, 0.866351
1.958, 0.364674, 0.821724
1.953, 0.389088, 0.776608
1.948, 0.389088, 0.731031
1.943, 0.364674, 0.685021
1.938, 0.340259, 0.638604
1.934, 0.218189, 0.59181
1.929, -0.880444, 0.544666
1.924, -0.660717, 0.497201
1.919, -0.416577, 0.449443
1.914, 0.071705, 0.401422
1.909, 0.169361, 0.353165
1.904, -0.050366, 0.304702
1.899, -0.123608, 0.256062
1.895, 0.120533, 0.207275
1.89, 0.242603, 0.15837
1.885, 0.291431, 0.109376
1.88, 0.267017, 0.060323
1.875, 0.315845, 0.011241
1.87, 0.340259, -0.037842
1.865, 0.315845, -0.086894
1.86, 0.315845, -0.135888
1.855, 0.315845, -0.184793
1.851, 0.389088, -0.23358
1.846, 0.340259, -0.28222
1.841, 0.267017, -0.330683
1.836, 0.291431, -0.37894
1.831, 0.389088, -0.426962
1.826, 0.340259, -0.474719
1.821, 0.267017, -0.522185
1.816, 0.291431, -0.569328
1.812, 0.315845, -0.616123
1.807, 0.291431, -0.662539
1.802, 0.291431, -0.708549
1.797, 0.193775, -0.754126
1.792, 0.242603, -0.799242
1.787, 0.267017, -0.843869
1.782, 0.291431, -0.887982
1.777, 0.218189, -0.931553
1.772, 0.267017, -0.974555
1.768, 0.267017, -1.016965
1.763, 0.315845, -1.058754
1.758, 0.218189, -1.0999
1.753, 0.267017, -1.140375
1.748, 0.267017, -1.180158
1.743, 0.340259, -1.219222
1.738, 0.218189, -1.257546
1.733, 0.242603, -1.295105
1.729, 0.218189, -1.331877
1.724, 0.242603, -1.36784
1.719, 0.267017, -1.402973
1.714, 0.242603, -1.437253
1.709, 0.267017, -1.470661
1.704, 0.218189, -1.503177
1.699, 0.242603, -1.53478
1.694, 0.242603, -1.565452
1.689, 0.315845, -1.595174
1.685, 0.242603, -1.623929
1.68, 0.267017, -1.651698
1.675, 0.267017, -1.678466
1.67, 0.267017, -1.704216
1.665, 0.267017, -1.728933
1.66, 0.291431, -1.752602
1.655, 0.291431, -1.775208
1.65, 0.291431, -1.796738
1.646, 0.340259, -1.817179
1.641, 0.364674, -1.836518
1.636, 0.315845, -1.854745
1.631, 0.267017, -1.871847
1.626, 0.291431, -1.887815
1.621, 0.364674, -1.90264
1.616, 0.315845, -1.916311
1.611, 0.242603, -1.928822
1.606, 0.242603, -1.940163
1.602, 0.291431, -1.95033
1.597, 0.291431, -1.959314
1.592, 0.242603, -1.967112
1.587, 0.291431, -1.973718
1.582, 0.291431, -1.979128
1.577, 0.267017, -1.98334
1.572, 0.364674, -1.98635
1.567, 0.364674, -1.988157
1.563, 0.364674, -1.988759
1.558, 0.340259, -1.988157
1.553, 0.315845, -1.98635
1.548, 0.389088, -1.98334
1.543, 0.437916, -1.979128
1.538, 0.364674, -1.973718
1.533, 0.437916, -1.967112
1.528, 0.340259, -1.959314
1.523, 0.315845, -1.95033
1.519, 0.389088, -1.940163
1.514, 0.340259, -1.928821
1.509, 0.364674, -1.916311
1.504, 0.340259, -1.90264
1.499, 0.364674, -1.887815
1.494, 0.389088, -1.871847
1.489, 0.389088, -1.854745
1.484, 0.437916, -1.836518
1.479, 0.389088, -1.817178
1.475, 0.364674, -1.796738
1.47, 0.389088, -1.775208
1.465, 0.511158, -1.752602
1.46, 0.389088, -1.728933
1.455, 0.389088, -1.704216
1.45, 0.340259, -1.678466
1.445, 0.511158, -1.651698
1.44, 0.46233, -1.623929
1.436, 0.437916, -1.595174
1.431, 0.46233, -1.565452
1.426, 0.486744, -1.53478
1.421, 0.486744, -1.503177
1.416, 0.46233, -1.470661
1.411, 0.242603, -1.437253
1.406, -0.563061, -1.402972
1.401, -0.245678, -1.36784
1.396, -0.001537, -1.331877
1.392, 0.267017, -1.295105
1.387, 0.144947, -1.257545
1.382, -0.001537, -1.219222
1.377, 0.193775, -1.180157
1.372, 0.486744, -1.140375
1.367, 0.535572, -1.099899
1.362, 0.535572, -1.058754
1.357, 0.559986, -1.016964
1.353, 0.559986, -0.974555
1.348, 0.535572, -0.931552
1.343, 0.535572, -0.887982
1.338, 0.5844, -0.843869
1.333, 0.559986, -0.799241
1.328, 0.608814, -0.754126
1.323, 0.559986, -0.708549
1.318, 0.608814, -0.662539
1.313, 0.608814, -0.616122
1.309, 0.5844, -0.569328
1.304, 0.657642, -0.522184
1.299, 0.682056, -0.474719
1.294, 0.682056, -0.426961
1.289, 0.633228, -0.378939
1.284, 0.608814, -0.330683
1.279, 0.682056, -0.28222
1.274, 0.657642, -0.23358
1.27, 0.730884, -0.184793
1.265, 0.730884, -0.135888
1.26, 0.730884, -0.086894
1.255, 0.657642, -0.037841
1.25, 0.70647, 0.011241
1.245, 0.657642, 0.060324
1.24, 0.657642, 0.109377
1.235, 0.682056, 0.15837
1.23, 0.657642, 0.207275
1.226, 0.657642, 0.256063
1.221, 0.682056, 0.304702
1.216, 0.730884, 0.353165
1.211, 0.755299, 0.401422
1.206, 0.804127, 0.449444
1.201, 0.779713, 0.497202
1.196, 0.730884, 0.544667
1.191, 0.70647, 0.591811
1.187, 0.70647, 0.638605
1.182, 0.730884, 0.685021
1.177, 0.779713, 0.731031
1.172, 0.755299, 0.776608
1.167, 0.755299, 0.821724
1.162, 0.779713, 0.866351
1.157, 0.70647, 0.910464
