TIME ms, IN1, OUT1
2.5, 0.852955, 0.011241
2.495, 0.559986, 0.060323
2.49, 0.608814, 0.109376
2.485, 0.682056, 0.15837
2.48, 0.975025, 0.207275
2.476, 0.559986, 0.256062
2.471, 0.70647, 0.304702
2.466, 0.70647, 0.353165
2.461, 0.926197, 0.401422
2.456, 0.535572, 0.449443
2.451, 0.657642, 0.497201
2.446, 0.755299, 0.544667
2.441, 0.999439, 0.59181
2.437, 0.608814, 0.638604
2.432, 0.755299, 0.685021
2.427, 0.852955, 0.731031
2.422, 0.999439, 0.776608
2.417, 0.5844, 0.821724
2.412, 0.657642, 0.866351
2.407, 0.730884, 0.910464
2.402, 0.950611, 0.954035
2.397, 0.633228, 0.997037
2.393, 0.682056, 1.039446
2.388, 0.779713, 1.081236
2.383, 0.975025, 1.122381
2.378, 0.559986, 1.162857
2.373, 0.730884, 1.20264
2.368, 0.779713, 1.241704
2.363, 0.852955, 1.280028
2.358, 0.608814, 1.317587
2.354, 0.5844, 1.354359
2.349, 0.730884, 1.390322
2.344, 0.755299, 1.425455
2.339, 0.511158, 1.459735
2.334, 0.511158, 1.493143
2.329, 0.5844, 1.525659
2.324, 0.779713, 1.557262
2.319, 0.315845, 1.587934
2.314, 0.364674, 1.617656
2.31, 0.486744, 1.646411
2.305, 0.682056, 1.67418
2.3, 0.291431, 1.700948
2.295, 0.437916, 1.726698
2.29, 0.486744, 1.751415
2.285, 0.5844, 1.775084
2.28, 0.193775, 1.79769
2.275, 0.291431, 1.81922
2.271, 0.46233, 1.839661
2.266, 0.608814, 1.859
2.261, 0.242603, 1.877227
2.256, 0.315845, 1.894329
2.251, 0.437916, 1.910297
2.246, 0.535572, 1.925122
2.241, 0.193775, 1.938793
2.236, 0.218189, 1.951303
2.231, 0.535572, 1.962645
2.227, 0.633228, 1.972812
2.222, 0.364674, 1.981796
2.217, 0.511158, 1.989594
2.212, 0.633228, 1.9962
2.207, 0.657642, 2.001611
2.202, 0.535572, 2.005822
2.197, 0.5844, 2.008832
2.192, 0.657642, 2.010639
2.188, 0.70647, 2.011241
2.183, 0.389088, 2.010639
2.178, 0.535572, 2.008832
2.173, 0.633228, 2.005822
2.168, 0.682056, 2.001611
2.163, 0.46233, 1.9962
2.158, 0.511158, 1.989594
2.153, 0.730884, 1.981796
2.148, 0.535572, 1.972812
2.144, 0.242603, 1.962645
2.139, 0.486744, 1.951303
2.134, 0.657642, 1.938793
2.129, 0.46233, 1.925122
2.124, 0.291431, 1.910297
2.119, 0.486744, 1.894329
2.114, 0.682056, 1.877227
2.109, 0.364674, 1.859
2.104, 0.340259, 1.839661
2.1, 0.511158, 1.81922
2.095, 0.657642, 1.79769
2.09, 0.267017, 1.775084
2.085, 0.364674, 1.751415
2.08, 0.511158, 1.726698
2.075, 0.486744, 1.700948
2.07, 0.242603, 1.67418
2.065, 0.340259, 1.646411
2.061, 0.535572, 1.617656
2.056, 0.340259, 1.587934
2.051, 0.218189, 1.557262
2.046, 0.315845, 1.525659
2.041, 0.46233, 1.493143
2.036, 0.169361, 1.459735
2.031, -0.880444, 1.425454
2.026, 0.022877, 1.390322
2.021, 0.169361, 1.354359
2.017, -0.489819, 1.317587
2.012, -0.19685, 1.280028
2.007, 0.267017, 1.241704
2.002, 0.486744, 1.20264
1.997, 0.193775, 1.162857
1.992, 0.047291, 1.122381
1.987, 0.291431, 1.081236
1.982, 0.389088, 1.039446
1.978, 0.144947, 0.997037
1.973, 0.096119, 0.954034
1.968, 0.193775, 0.910464
1.963, 0.389088, 0.866351
1.958, 0.315845, 0.821724
1.953, -0.050366, 0.776608
1.948, 0.193775, 0.731031
1.943, 0.291431, 0.685021
1.938, 0.291431, 0.638604
1.934, 0.071705, 0.59181
1.929, 0.169361, 0.544666
1.924, 0.193775, 0.497201
1.919, 0.242603, 0.449443
1.914, -0.001537, 0.401422
1.909, 0.096119, 0.353165
1.904, 0.242603, 0.304702
1.899, 0.120533, 0.256062
1.895, -0.099194, 0.207275
1.89, 0.169361, 0.15837
1.885, 0.169361, 0.109376
1.88, 0.096119, 0.060323
1.875, -0.050366, 0.011241
1.87, 0.096119, -0.037842
1.865, 0.218189, -0.086894
1.86, 0.047291, -0.135888
1.855, -0.123608, -0.184793
1.851, 0.047291, -0.23358
1.846, 0.193775, -0.28222
1.841, -0.07478, -0.330683
1.836, -0.123608, -0.37894
1.831, -0.123608, -0.426962
1.826, 0.071705, -0.474719
1.821, -0.733959, -0.522185
1.816, -0.685131, -0.569328
1.812, -0.19685, -0.616123
1.807, 0.096119, -0.662539
1.802, -0.31892, -0.708549
1.797, -0.514233, -0.754126
1.792, -0.416577, -0.799242
1.787, -0.123608, -0.843869
1.782, -0.31892, -0.887982
1.777, -0.050366, -0.931553
1.772, 0.144947, -0.974555
1.768, 0.096119, -1.016965
