TIME ms, IN1, OUT1
2.5, 3.245533, 0.011241
2.495, 3.245533, 0.060323
2.49, 3.221119, 0.109376
2.485, 3.269947, 0.15837
2.48, 3.343189, 0.207275
2.476, 3.221119, 0.256062
2.471, 3.294361, 0.304702
2.466, 3.221119, 0.353165
2.461, 3.318775, 0.401422
2.456, 3.269947, 0.449443
2.451, 3.245533, 0.497201
2.446, 3.318775, 0.544667
2.441, 3.343189, 0.59181
2.437, 3.269947, 0.638604
2.432, 3.318775, 0.685021
2.427, 3.343189, 0.731031
2.422, 3.343189, 0.776608
2.417, 3.318775, 0.821724
2.412, 3.343189, 0.866351
2.407, 3.318775, 0.910464
2.402, 3.46526, 0.954035
2.397, 3.318775, 0.997037
2.393, 3.294361, 1.039446
2.388, 3.392017, 1.081236
2.383, 3.392017, 1.122381
2.378, 3.392017, 1.162857
2.373, 3.318775, 1.20264
2.368, 3.440845, 1.241704
2.363, 3.416431, 1.280028
2.358, 3.318775, 1.317587
2.354, 3.245533, 1.354359
2.349, 3.318775, 1.390322
2.344, 3.416431, 1.425455
2.339, 3.343189, 1.459735
2.334, 3.392017, 1.493143
2.329, 3.416431, 1.525659
2.324, 3.416431, 1.557262
2.319, 3.343189, 1.587934
2.314, 3.392017, 1.617656
2.31, 3.343189, 1.646411
2.305, 3.392017, 1.67418
2.3, 3.440845, 1.700948
2.295, 3.343189, 1.726698
2.29, 3.294361, 1.751415
2.285, 3.440845, 1.775084
2.28, 3.343189, 1.79769
2.275, 3.343189, 1.81922
2.271, 3.318775, 1.839661
2.266, 3.318775, 1.859
2.261, 3.294361, 1.877227
2.256, 3.294361, 1.894329
2.251, 3.245533, 1.910297
2.246, 3.318775, 1.925122
2.241, 3.294361, 1.938793
2.236, 3.221119, 1.951303
2.231, 3.294361, 1.962645
2.227, 3.269947, 1.972812
2.222, 3.294361, 1.981796
2.217, 3.294361, 1.989594
2.212, 3.318775, 1.9962
2.207, 3.245533, 2.001611
2.202, 3.269947, 2.005822
2.197, 3.221119, 2.008832
2.192, 3.196705, 2.010639
2.188, 3.172291, 2.011241
2.183, 3.196705, 2.010639
2.178, 3.196705, 2.008832
2.173, 3.123463, 2.005822
2.168, 3.172291, 2.001611
2.163, 3.221119, 1.9962
2.158, 3.099049, 1.989594
2.153, 3.123463, 1.981796
2.148, 3.05022, 1.972812
2.144, 3.172291, 1.962645
2.139, 3.05022, 1.951303
2.134, 3.123463, 1.938793
2.129, 3.05022, 1.925122
2.124, 3.099049, 1.910297
2.119, 2.976978, 1.894329
2.114, 3.05022, 1.877227
2.109, 3.074635, 1.859
2.104, 3.074635, 1.839661
2.1, 2.952564, 1.81922
2.095, 2.952564, 1.79769
2.09, 3.05022, 1.775084
2.085, 3.001392, 1.751415
2.08, 2.976978, 1.726698
2.075, 2.879322, 1.700948
2.07, 2.854908, 1.67418
2.065, 3.001392, 1.646411
2.061, 2.976978, 1.617656
2.056, 2.903736, 1.587934
2.051, 2.952564, 1.557262
2.046, 2.830494, 1.525659
2.041, 2.854908, 1.493143
2.036, 2.781666, 1.459735
2.031, 2.879322, 1.425454
2.026, 2.830494, 1.390322
2.021, 2.854908, 1.354359
2.017, 2.903736, 1.317587
2.012, 2.854908, 1.280028
2.007, 2.854908, 1.241704
2.002, 2.781666, 1.20264
1.997, 2.732838, 1.162857
1.992, 2.757252, 1.122381
1.987, 2.732838, 1.081236
1.982, 2.732838, 1.039446
1.978, 2.659595, 0.997037
1.973, 2.708424, 0.954034
1.968, 2.757252, 0.910464
1.963, 2.659595, 0.866351
1.958, 2.635181, 0.821724
1.953, 2.659595, 0.776608
1.948, 2.68401, 0.731031
1.943, 2.68401, 0.685021
1.938, 2.586353, 0.638604
1.934, 2.586353, 0.59181
1.929, 2.659595, 0.544666
1.924, 2.610767, 0.497201
1.919, 2.586353, 0.449443
1.914, 2.561939, 0.401422
1.909, 2.586353, 0.353165
1.904, 2.488697, 0.304702
