TIME ms, IN1, OUT1
25, 63.171387, -0.56
24.951, 59.326172, -0.07404
24.902, 57.678223, 0.382793
24.854, 55.236816, 0.783118
24.805, 56.640625, 1.102939
24.756, 56.396484, 1.323088
24.707, 53.955078, 1.430369
24.658, 49.438477, 1.418353
24.609, 50.78125, 1.287759
24.561, 49.743652, 1.046415
24.512, 48.156738, 0.708787
24.463, 42.053223, 0.29511
24.414, 45.471191, -0.169819
24.365, 44.86084, -0.658135
24.316, 44.555664, -1.140569
24.268, 44.677734, -1.588205
24.219, 45.227051, -1.974214
24.17, 46.325684, -2.275457
24.121, 48.278809, -2.473881
24.072, 51.208496, -2.557591
24.023, 54.504395, -2.52157
23.975, 56.884766, -2.367979
23.926, 54.016113, -2.106021
23.877, 60.60791, -1.751399
23.828, 62.194824, -1.325367
23.779, 63.232422, -0.853461
23.73, 56.45752, -0.363966
23.682, 57.128906, 0.11378
23.633, 56.152344, 0.55114
23.584, 56.030273, 0.921902
23.535, 56.213379, 1.203843
23.486, 54.748535, 1.380062
23.438, 53.527832, 1.44
23.389, 47.851562, 1.380062
23.34, 50.720215, 1.203843
23.291, 49.194336, 0.921902
23.242, 47.363281, 0.55114
23.193, 42.114258, 0.11378
23.145, 45.227051, -0.363966
23.096, 44.799805, -0.853461
23.047, 44.494629, -1.325367
22.998, 44.73877, -1.751399
22.949, 45.471191, -2.106021
22.9, 47.058105, -2.367979
22.852, 49.316406, -2.52157
22.803, 52.368164, -2.557591
22.754, 56.030273, -2.473881
22.705, 57.800293, -2.275457
22.656, 57.434082, -1.974214
22.607, 61.340332, -1.588205
22.559, 62.561035, -1.140569
22.51, 63.293457, -0.658135
22.461, 58.166504, -0.169819
22.412, 56.45752, 0.29511
22.363, 55.908203, 0.708787
22.314, 56.152344, 1.046415
22.266, 56.091309, 1.287759
22.217, 53.894043, 1.418353
22.168, 48.88916, 1.430369
22.119, 49.743652, 1.323088
22.07, 50.048828, 1.102939
22.021, 48.461914, 0.783118
21.973, 42.419434, 0.382793
21.924, 45.227051, -0.07404
21.875, 45.10498, -0.56
21.826, 44.616699, -1.04596
21.777, 44.616699, -1.502793
21.729, 44.98291, -1.903118
21.68, 45.959473, -2.222939
21.631, 47.912598, -2.443088
21.582, 50.415039, -2.55037
21.533, 53.710938, -2.538353
21.484, 56.57959, -2.407759
21.436, 53.527832, -2.166415
21.387, 59.997559, -1.828787
21.338, 61.889648, -1.41511
21.289, 62.805176, -0.950181
21.24, 63.293457, -0.461865
21.191, 58.959961, 0.020569
21.143, 57.434082, 0.468205
21.094, 56.762695, 0.854214
21.045, 56.57959, 1.155457
20.996, 55.847168, 1.353881
20.947, 53.894043, 1.437591
20.898, 48.706055, 1.401571
20.85, 50.78125, 1.247979
20.801, 49.438477, 0.986021
20.752, 47.912598, 0.631399
20.703, 41.381836, 0.205367
20.654, 45.349121, -0.266539
20.605, 44.73877, -0.756034
20.557, 44.555664, -1.23378
20.508, 44.677734, -1.67114
20.459, 45.288086, -2.041902
20.41, 46.75293, -2.323843
20.361, 48.828125, -2.500062
20.313, 51.818848, -2.56
20.264, 55.358887, -2.500062
20.215, 57.189941, -2.323843
20.166, 54.6875, -2.041902
20.117, 60.852051, -1.67114
20.068, 62.133789, -1.23378
20.02, 63.293457, -0.756034
19.971, 58.410645, -0.266539
19.922, 56.762695, 0.205367
19.873, 56.57959, 0.631399
19.824, 56.091309, 0.986021
19.775, 56.274414, 1.247979
19.727, 54.56543, 1.401571
19.678, 52.612305, 1.437591
19.629, 47.363281, 1.353881
19.58, 50.354004, 1.155457
19.531, 48.828125, 0.854214
19.482, 43.518066, 0.468205
19.434, 44.555664, 0.020569
19.385, 45.166016, -0.461865
19.336, 44.677734, -0.950181
19.287, 44.616699, -1.41511
19.238, 44.799805, -1.828787
