freq_hz,adc_b
0.000000000000000000e+00,0.000000000000000000e+00
3.814813684499648843e+03,8.374981171091092991e-05
7.629627368999297687e+03,2.403523184290800522e-04
1.144444105349894744e+04,2.821021444820729024e-04
1.525925473799859537e+04,8.409858466969595461e-04
1.907406842249824331e+04,6.890101658851932685e-04
2.288888210699789488e+04,8.969500239896972284e-05
2.670369579149754281e+04,2.113569013174060730e-06
3.051850947599719075e+04,2.914775586368367961e-05
3.433332316049683868e+04,4.681254858733779976e-05
3.814813684499648662e+04,1.389778611234427630e-05
4.196295052949613455e+04,2.540082249053649799e-05
4.577776421399578976e+04,3.365497574203897872e-06
4.959257789849543769e+04,5.453073837835225521e-06
5.340739158299508563e+04,2.830129795529164687e-05
5.722220526749473356e+04,1.046214707409838182e-04
6.103701895199438150e+04,3.899285812739797257e-05
6.485183263649402943e+04,2.949402137367933179e-05
6.866664632099367736e+04,1.316072321598998001e-05
7.248146000549332530e+04,2.373232958125646233e-06
7.629627368999297323e+04,4.222363622487128792e-05
8.011108737449262117e+04,8.867624930824218488e-05
8.392590105899226910e+04,2.766247177696051245e-05
8.774071474349191703e+04,3.511758050971113177e-05
9.155552842799157952e+04,4.565765144337323754e-05
9.537034211249122745e+04,4.866749757327939964e-05
9.918515579699087539e+04,6.200297059970354867e-05
1.029999694814905233e+05,4.442841019758960879e-05
1.068147831659901713e+05,2.549838036204067052e-05
1.106295968504898192e+05,1.222930700161516556e-05
1.144444105349894671e+05,2.513676350669993552e-05
1.182592242194891151e+05,1.526371751544606129e-05
1.220740379039887630e+05,8.828759732522352118e-05
1.258888515884884109e+05,4.934018696664865041e-05
1.297036652729880589e+05,1.589922017189350559e-06
1.335184789574877068e+05,1.094273345882367802e-05
1.373332926419873547e+05,2.737742607336407917e-05
1.411481063264870027e+05,1.941945149596312567e-05
1.449629200109866506e+05,7.114231847296567002e-06
1.487777336954862985e+05,4.115555655223067442e-05
1.525925473799859465e+05,3.263509075914384773e-05
1.564073610644855944e+05,2.471372724242496718e-05
1.602221747489852423e+05,3.686253859910979051e-05
1.640369884334848903e+05,2.143216542014802229e-05
1.678518021179845382e+05,2.620952458878294156e-05
1.716666158024841861e+05,4.686791282846969011e-05
1.754814294869838341e+05,9.424562641335729819e-06
1.792962431714834820e+05,4.684703319095628415e-06
1.831110568559831590e+05,5.201258294595677807e-07
1.869258705404828070e+05,9.742980883649295584e-06
1.907406842249824549e+05,9.085605772573254179e-06
1.945554979094821028e+05,2.750141384387055225e-07
1.983703115939817508e+05,4.347846401097840120e-06
2.021851252784813987e+05,7.250741657588103985e-06
2.059999389629810466e+05,4.576740081395123686e-06
2.098147526474806946e+05,6.325459044356617094e-07
2.136295663319803425e+05,2.109162344588657247e-06
2.174443800164799904e+05,4.320158695187427571e-06
2.212591937009796384e+05,8.477535718228028165e-07
2.250740073854792863e+05,4.428046196590105058e-06
2.288888210699789342e+05,2.144850944032678200e-05
2.327036347544785822e+05,1.574529360628231157e-05
2.365184484389782301e+05,4.732339704513553979e-06
2.403332621234778780e+05,7.742255214351753230e-07
2.441480758079775260e+05,1.372313453479318629e-05
2.479628894924771739e+05,4.128117813486428117e-05
2.517777031769768219e+05,1.545809397899311927e-05
2.555925168614764698e+05,5.740668070935947213e-06
2.594073305459761177e+05,1.049477549581498930e-05
2.632221442304757657e+05,2.434649754996773860e-05
2.670369579149754136e+05,2.290891119601036314e-05
2.708517715994750615e+05,5.905269687147348866e-06
2.746665852839747095e+05,5.302450001516977084e-06
2.784813989684743574e+05,1.028667625706400675e-06
2.822962126529740053e+05,1.933469051648992263e-05
2.861110263374736533e+05,1.102232296064581156e-05
2.899258400219733012e+05,1.975425310749167060e-07
2.937406537064729491e+05,2.233035455876572818e-06
2.975554673909725971e+05,4.340520142852321104e-08
3.013702810754722450e+05,1.094288487039188090e-06
3.051850947599718929e+05,7.323321026158291059e-07
3.089999084444715409e+05,6.847325231231108502e-07
3.128147221289711888e+05,9.910972984205656104e-06
3.166295358134708367e+05,1.344919397064705086e-05
3.204443494979704847e+05,5.002642282311379510e-06
3.242591631824701326e+05,3.103598619395976882e-06
3.280739768669697805e+05,5.375019366315131138e-07
3.318887905514694285e+05,8.512456535460356699e-07
3.357036042359690764e+05,3.056790072267308021e-06
3.395184179204687243e+05,2.450623600114592486e-06
3.433332316049683723e+05,1.932800307399438660e-07
3.471480452894680202e+05,1.988373598543272571e-06
3.509628589739676681e+05,9.366716903200713823e-07
3.547776726584673161e+05,8.452656567194300968e-06
3.585924863429669640e+05,7.024020859227445677e-06
3.624073000274666119e+05,1.538362072174957214e-06
3.662221137119663181e+05,2.221034530476278313e-07
3.700369273964659660e+05,2.308271731273050429e-06
3.738517410809656139e+05,1.182308624992081240e-06
3.776665547654652619e+05,9.973288930463854884e-07
3.814813684499649098e+05,3.952202627362659208e-06
3.852961821344645577e+05,2.912561149557821874e-06
3.891109958189642057e+05,1.297787464431755499e-05
3.929258095034638536e+05,6.416909088245501766e-06
3.967406231879635016e+05,4.766844054844738940e-06
4.005554368724631495e+05,2.229728922764519764e-05
4.043702505569627974e+05,5.758989967073000655e-06
4.081850642414624454e+05,1.016405366649423025e-06
4.119998779259620933e+05,8.105434474151831129e-07
4.158146916104617412e+05,7.474663189947909454e-06
4.196295052949613892e+05,2.582174924333415264e-07
4.234443189794610371e+05,1.371405937131512147e-05
4.272591326639606850e+05,5.523956459138125338e-06
4.310739463484603330e+05,6.572918296121329506e-06
4.348887600329599809e+05,6.096765151997628753e-06
4.387035737174596288e+05,1.772391572845845714e-06
4.425183874019592768e+05,5.010241012371441756e-06
4.463332010864589247e+05,1.169864311567914458e-06
4.501480147709585726e+05,4.100765691617663134e-06
4.539628284554582206e+05,3.946898336114535118e-06
4.577776421399578685e+05,1.583220414384445892e-06
4.615924558244575164e+05,3.503071713903480660e-06
4.654072695089571644e+05,3.209991251187752792e-06
4.692220831934568123e+05,9.881222191795116679e-06
4.730368968779564602e+05,6.063123184374636586e-06
4.768517105624561082e+05,4.190756818748702187e-06
4.806665242469557561e+05,9.354384005627206788e-06
4.844813379314554040e+05,4.238067211607284387e-06
4.882961516159550520e+05,2.216628326945038101e-05
4.921109653004546999e+05,4.160875886204216499e-06
4.959257789849543478e+05,1.720289909604778131e-06
4.997405926694539958e+05,1.216484089489651226e-06
5.035554063539536437e+05,4.568171395585189064e-06
5.073702200384532916e+05,1.620558082674098020e-05
5.111850337229529396e+05,1.869303145707031864e-05
5.149998474074525875e+05,4.812433999550312285e-06
5.188146610919522354e+05,1.748593989148881903e-06
5.226294747764518834e+05,5.419266441743407427e-06
5.264442884609515313e+05,3.965542686257973229e-07
5.302591021454512374e+05,1.117924922602903639e-05
5.340739158299508272e+05,8.421180702914716416e-06
5.378887295144505333e+05,2.781441040971139756e-06
5.417035431989501230e+05,1.235835864133180008e-06
5.455183568834498292e+05,2.126973464397248216e-05
5.493331705679494189e+05,3.872932319407955290e-05
5.531479842524491251e+05,2.194236613198503265e-06
5.569627979369487148e+05,1.323216287641505899e-06
5.607776116214484209e+05,4.398085655666312147e-06
5.645924253059480106e+05,7.663163116172368020e-06
5.684072389904477168e+05,5.482995214859285767e-06
5.722220526749473065e+05,1.643435204008933257e-05
5.760368663594470127e+05,1.289331277970891761e-06
5.798516800439466024e+05,4.119865653612602139e-06
5.836664937284463085e+05,1.350550936672983916e-05
5.874813074129458982e+05,8.639806562709121307e-06
5.912961210974456044e+05,1.791251767075598703e-05
5.951109347819451941e+05,2.946278099604742568e-05
5.989257484664449003e+05,6.909057557204664906e-06
6.027405621509444900e+05,2.747582588602790857e-05
6.065553758354441961e+05,4.288679767493803368e-06
6.103701895199437859e+05,1.620184912669360663e-05
6.141850032044434920e+05,4.121923475415581136e-05
6.179998168889430817e+05,8.133917199467318479e-05
6.218146305734427879e+05,1.260502841263455193e-05
6.256294442579423776e+05,8.873987205464933651e-05
6.294442579424420837e+05,8.234401411167441076e-06
6.332590716269416735e+05,1.114427389119505959e-04
6.370738853114413796e+05,5.320639337921374707e-06
6.408886989959409693e+05,1.056286158407668225e-04
6.447035126804406755e+05,3.609658515654145486e-05
6.485183263649402652e+05,2.275439740460376205e-04
6.523331400494399713e+05,1.350530704328691141e-04
6.561479537339395611e+05,9.091847823865942604e-04
6.599627674184392672e+05,4.095605231068756352e-04
6.637775811029388569e+05,1.159021553464311197e-02
6.675923947874385631e+05,1.705350110451763282e-02
6.714072084719381528e+05,3.649667838803094793e-03
6.752220221564378589e+05,2.668449079692994321e-04
6.790368358409374487e+05,5.163204007507467318e-04
6.828516495254371548e+05,1.140363855476397842e-04
6.866664632099367445e+05,2.726376432793035758e-04
6.904812768944364507e+05,3.175875038169927845e-05
6.942960905789360404e+05,1.070641708750957335e-04
6.981109042634357465e+05,4.265320260537345024e-05
7.019257179479353363e+05,1.395077018201905091e-04
7.057405316324350424e+05,2.330726320114250085e-06
7.095553453169346321e+05,4.556050198612833529e-05
7.133701590014343383e+05,6.609649006410626641e-06
7.171849726859339280e+05,3.579861975404310048e-05
7.209997863704336341e+05,4.076425632155635811e-06
7.248146000549332239e+05,2.500874761364084371e-05
7.286294137394329300e+05,4.637092742695498932e-06
7.324442274239326362e+05,2.345998821427576055e-05
7.362590411084322259e+05,3.390670598148680394e-06
7.400738547929319320e+05,2.196770995858460910e-05
7.438886684774315218e+05,8.278039625040483561e-07
7.477034821619312279e+05,1.326263878232981107e-05
7.515182958464308176e+05,8.012363136125839544e-08
7.553331095309305238e+05,3.252465897501220787e-06
7.591479232154301135e+05,6.248168066371406739e-06
7.629627368999298196e+05,1.001625730393491002e-05
7.667775505844294094e+05,1.682927048909566512e-06
7.705923642689291155e+05,2.729210964127453492e-06
7.744071779534287052e+05,3.698586122205193621e-06
7.782219916379284114e+05,3.863188474206685392e-06
7.820368053224280011e+05,6.518885591614061085e-06
7.858516190069277072e+05,6.921462317272006130e-06
7.896664326914272970e+05,4.962751556124608048e-06
7.934812463759270031e+05,1.182270749517759071e-05
7.972960600604265928e+05,3.085596380325013470e-06
8.011108737449262990e+05,1.125777849408752915e-05
8.049256874294258887e+05,1.563355789694061089e-07
8.087405011139255948e+05,3.086970021116243239e-06
8.125553147984251846e+05,8.032354341831962776e-07
8.163701284829248907e+05,3.870492995878003585e-06
8.201849421674244804e+05,1.520279144060290135e-06
8.239997558519241866e+05,3.449285968386309575e-07
8.278145695364237763e+05,6.880285159442153804e-06
8.316293832209234824e+05,7.401287948012790711e-06
8.354441969054230722e+05,1.802465563258962130e-06
8.392590105899227783e+05,1.079755248242066279e-05
8.430738242744223680e+05,2.459269750048930623e-06
8.468886379589220742e+05,1.574547351862374673e-06
8.507034516434216639e+05,2.958002776634181405e-06
8.545182653279213700e+05,3.550218653889737086e-06
8.583330790124209598e+05,9.955358494212546407e-07
8.621478926969206659e+05,1.994680679207730218e-06
8.659627063814202556e+05,6.875314565729924134e-06
8.697775200659199618e+05,5.864752764426146846e-06
8.735923337504195515e+05,9.046885839703361470e-07
8.774071474349192576e+05,2.713353336619929715e-06
8.812219611194188474e+05,8.653024958536617714e-07
8.850367748039185535e+05,2.911251404980999132e-06
8.888515884884181432e+05,1.160156844596521756e-06
8.926664021729178494e+05,6.236824452206794116e-06
8.964812158574174391e+05,4.423403949046928698e-06
9.002960295419171453e+05,1.230661410349136726e-06
9.041108432264167350e+05,1.925363827410988422e-06
9.079256569109164411e+05,2.494470793157868135e-06
9.117404705954160308e+05,1.754907496187113818e-06
9.155552842799157370e+05,1.845922589097284986e-06
9.193700979644153267e+05,1.452377883977796818e-06
9.231849116489150329e+05,2.272917616039051006e-06
9.269997253334146226e+05,1.686538969258286688e-06
9.308145390179143287e+05,4.897702275733467451e-06
9.346293527024139185e+05,6.985928152103178090e-07
9.384441663869136246e+05,1.538677479448951310e-06
9.422589800714132143e+05,1.618822144661641504e-06
9.460737937559129205e+05,3.049825833359619814e-07
9.498886074404125102e+05,6.349322291616979645e-06
9.537034211249122163e+05,6.271546372558025393e-06
9.575182348094118061e+05,2.076894892642460589e-06
9.613330484939115122e+05,1.267676832456299378e-06
9.651478621784111019e+05,3.917464607907056472e-06
9.689626758629108081e+05,5.143872443968882962e-06
9.727774895474103978e+05,7.514843209325963019e-07
9.765923032319101039e+05,2.895328619186692195e-06
9.804071169164098101e+05,1.939340001863907065e-06
9.842219306009093998e+05,7.301740973117064384e-06
9.880367442854091059e+05,1.161583393167681530e-07
9.918515579699086957e+05,2.244258669036913427e-06
9.956663716544084018e+05,1.125883713741656321e-06
9.994811853389079915e+05,8.055667067458350576e-06
1.003295999023407698e+06,1.468529294991562565e-06
1.007110812707907287e+06,1.545704440892007845e-07
1.010925626392406994e+06,1.000472043454551877e-06
1.014740440076906583e+06,2.142388568724477499e-06
1.018555253761406289e+06,4.158849046604531790e-07
1.022370067445905879e+06,2.989282534483062332e-06
1.026184881130405585e+06,1.362074775886237321e-08
1.029999694814905175e+06,7.784363563425878662e-07
1.033814508499404881e+06,4.049429411967687177e-07
